,time,rssi,label
523,1578566208859,-79,leave
524,1578566208962,-77,leave
525,1578566209063,-86,leave
526,1578566209165,-69,leave
527,1578566209267,-77,leave
528,1578566209369,-73,leave
529,1578566209476,-63,leave
530,1578566209579,-71,leave
531,1578566209681,-78,leave
532,1578566209794,-80,leave
533,1578566209897,-80,leave
534,1578566210130,-72,leave
535,1578566210219,-82,leave
536,1578566210322,-80,leave
537,1578566210432,-79,leave
538,1578566210522,-75,leave
539,1578566210625,-80,leave
540,1578566210732,-80,leave
541,1578566210839,-74,leave
542,1578566210944,-84,leave
543,1578566211053,-80,leave
544,1578566211163,-74,leave
545,1578566211402,-78,leave
546,1578566211475,-80,leave
547,1578566211580,-91,leave
548,1578566211680,-85,leave
549,1578566211778,-86,leave
550,1578566211881,-84,leave
551,1578566211989,-85,leave
552,1578566212094,-78,leave
553,1578566212200,-81,leave
554,1578566212312,-83,leave
555,1578566212413,-78,leave
556,1578566212520,-87,leave
557,1578566212624,-80,leave
558,1578566212728,-77,leave
559,1578566212836,-85,leave
560,1578566212943,-92,leave
561,1578566213050,-89,leave
562,1578566213149,-81,leave
563,1578566213256,-94,leave
564,1578566213367,-89,leave
565,1578566213468,-82,leave
566,1578566213571,-100,leave
567,1578566213675,-92,leave
568,1578566213783,-78,leave
569,1578566213888,-88,leave
570,1578566213998,-92,leave
571,1578566214100,-92,leave
572,1578566214205,-85,leave
573,1578566214305,-94,leave
574,1578566214416,-87,leave
575,1578566214518,-79,leave
576,1578566214617,-87,leave
577,1578566214722,-86,leave
578,1578566214825,-90,leave
579,1578566214929,-91,leave
580,1578566215032,-77,leave
581,1578566215134,-78,leave
582,1578566215241,-82,leave
583,1578566215348,-86,leave
584,1578566215450,-82,leave
585,1578566215679,-96,leave
586,1578566215766,-87,leave
587,1578566215860,-88,leave
588,1578566215969,-82,leave
589,1578566216074,-86,leave
590,1578566216180,-82,leave
591,1578566216286,-77,leave
592,1578566216503,-87,leave
593,1578566216588,-85,leave
594,1578566216694,-80,leave
595,1578566216796,-85,leave
596,1578566216908,-86,leave
597,1578566217008,-84,leave
598,1578566217122,-91,leave
599,1578566217218,-85,leave
600,1578566217326,-81,leave
601,1578566217439,-88,leave
602,1578566217544,-90,leave
603,1578566217650,-81,leave
604,1578566217759,-88,leave
605,1578566217870,-78,leave
606,1578566217972,-80,leave
607,1578566218080,-95,leave
608,1578566218189,-96,leave
609,1578566218296,-85,leave
610,1578566218400,-89,leave
611,1578566218490,-84,leave
612,1578566218595,-81,far
613,1578566218704,-99,far
614,1578566218804,-88,far
615,1578566218912,-82,far
616,1578566219025,-84,far
617,1578566219133,-85,far
618,1578566219374,-89,far
619,1578566219455,-86,far
620,1578566219562,-87,far
621,1578566219660,-90,far
622,1578566219773,-88,far
623,1578566219872,-87,far
624,1578566219973,-85,far
625,1578566220076,-84,far
626,1578566220189,-83,far
627,1578566220291,-84,far
628,1578566220396,-84,far
629,1578566220497,-84,far
630,1578566220606,-84,far
631,1578566220715,-84,far
632,1578566220824,-84,far
633,1578566220931,-84,far
634,1578566221028,-84,far
635,1578566221139,-85,far
636,1578566221240,-84,far
637,1578566221342,-85,far
638,1578566221447,-85,far
639,1578566221556,-85,far
640,1578566221666,-85,far
641,1578566221770,-85,far
642,1578566221866,-85,far
643,1578566221972,-85,far
644,1578566222077,-85,far
645,1578566222182,-85,far
646,1578566222286,-84,far
647,1578566222395,-85,far
648,1578566222500,-85,far
649,1578566222599,-85,far
650,1578566222708,-85,far
651,1578566222937,-85,far
652,1578566223019,-85,far
653,1578566223124,-85,far
654,1578566223232,-86,far
655,1578566223333,-87,far
656,1578566223435,-87,far
657,1578566223548,-88,far
658,1578566223650,-88,far
659,1578566223760,-88,far
660,1578566223866,-89,far
661,1578566223971,-89,far
662,1578566224197,-95,far
663,1578566224279,-100,far
664,1578566224502,-97,far
665,1578566224589,-88,far
666,1578566224696,-82,approach
667,1578566224797,-85,approach
668,1578566224906,-91,approach
669,1578566225017,-86,approach
670,1578566225129,-84,approach
671,1578566225238,-89,approach
672,1578566225475,-81,approach
673,1578566225546,-80,approach
674,1578566225658,-83,approach
675,1578566225762,-74,approach
676,1578566225866,-74,approach
677,1578566225966,-77,approach
678,1578566226078,-76,approach
679,1578566226186,-89,approach
680,1578566226292,-78,approach
681,1578566226397,-82,approach
682,1578566226502,-84,approach
683,1578566226595,-72,approach
684,1578566226706,-74,approach
